tweetid,created,date,hour,weekday,text,tweet_text_raw,retweets,favorites,source.r,hashtag,num.emojis,sentiment_negative,sentiment_neutral,sentiment_positive,sentiment_score,sentiment_confidence,sentiment
15220,2017-10-16 20:54:52,2017-10-16,20,Monday,I have lost count of all of the times I've dealt with sexual harassment and assault since I was a child. You are not alone. #metoo,I have lost count of all of the times I've dealt with sexual harassment and assault since I was a child. You are not alone. #metoo,0.0,12.0,WEB,#metoo,0.0,0.8538808822631836,0.12676094472408295,0.019358156248927116,-0.8345227260142565,0.8538808822631836,Negative
7280,2017-10-16 19:49:38,2017-10-16,19,Monday,Me too #MeToo https://t.co/aqpO752Ceu,Me too #MeToo https://t.co/aqpO752Ceu,0.0,0.0,IPHONE,#metoo,0.0,0.05444973707199097,0.6012253165245056,0.3443250060081482,0.2898752689361572,0.6012253165245056,Neutral
2844,2017-10-16 21:27:30,2017-10-16,21,Monday,"2-161017-417p ""1 2 Gsus""
Dedicated 2 the voices of #metoo
4 (broke)n (me)n https://t.co/zkZGFHOZG9","2-161017-417p ""1 2 Gsus"" Dedicated 2 the voices of #metoo 4 (broke)n (me)n https://t.co/zkZGFHOZG9",0.0,0.0,ANDROID,#metoo,0.0,0.03429105505347252,0.8322218060493469,0.13348715007305145,0.09919609501957893,0.8322218060493469,Neutral
13342,2017-10-16 21:00:29,2017-10-16,21,Monday,"Isn't this the truth!
Me, too

#MeToo https://t.co/1V31y2P5w9","Isn't this the truth! Me, too #MeToo https://t.co/1V31y2P5w9",0.0,2.0,ANDROID,#metoo,0.0,0.06179891154170036,0.3453194200992584,0.5928816795349121,0.5310827679932117,0.5928816795349121,Positive
5272,2017-10-16 23:46:12,2017-10-16,23,Monday,#meToo. All that needs to be said. https://t.co/VI04l6HQ9P,#meToo. All that needs to be said. https://t.co/VI04l6HQ9P,0.0,1.0,ANDROID,#metoo,0.0,0.06978874653577805,0.6649072170257568,0.26530399918556213,0.1955152526497841,0.6649072170257568,Neutral
12722,2017-10-16 23:41:00,2017-10-16,23,Monday,@Alyssa_Milano #MeToo I was sexually harassed in 1985. haunts me wish I'd been stronger &amp; had the courage to say so<e2><80><a6> https://t.co/ugvirEbhF9,@Alyssa_Milano #MeToo I was sexually harassed in 1985. haunts me wish I'd been stronger &amp; had the courage to say so<e2><80><a6> https://t.co/ugvirEbhF9,0.0,2.0,IPHONE,#metoo,0.0,0.8730406165122986,0.11576639860868454,0.011193045414984226,-0.8618475710973144,0.8730406165122986,Negative
6677,2017-10-16 21:39:06,2017-10-16,21,Monday,"Since I was 13, I<e2><80><99>ve wanted to say, <e2><80><9c>If ur female &amp; ur breathing, expect to be sexually harassed at some point in your life.<e2><80><9d> #metoo","Since I was 13, I<e2><80><99>ve wanted to say, <e2><80><9c>If ur female &amp; ur breathing, expect to be sexually harassed at some point in your life.<e2><80><9d> #metoo",0.0,0.0,IPHONE,#metoo,0.0,0.5664674639701843,0.4058626890182495,0.027669841423630714,-0.5387976225465536,0.5664674639701843,Negative
22785,2017-10-16 20:43:40,2017-10-16,20,Monday,"Five decades in the industry.

Countless times.

#Neverthelessshepersisted 

#MeToo 

#ROSEARMY #SallysSoldiers",Five decades in the industry. Countless times. #Neverthelessshepersisted #MeToo #ROSEARMY #SallysSoldiers,1.0,10.0,ANDROID,#metoo,0.0,0.08265946805477142,0.44477206468582153,0.4725685119628906,0.3899090439081192,0.4725685119628906,Positive
23529,2017-10-16 20:50:59,2017-10-16,20,Monday,The latest Today's Best! https://t.co/xkFT1fWVcA Thanks to @haaretzcom @Herring_NBA @JanellRoss #metoo #patriots,The latest Today's Best! https://t.co/xkFT1fWVcA Thanks to @haaretzcom @Herring_NBA @JanellRoss #metoo #patriots,0.0,0.0,Unknown,#metoo,0.0,0.0019813913386315107,0.018055817112326622,0.9799628257751465,0.977981434436515,0.9799628257751465,Positive
770,2017-10-16 20:36:37,2017-10-16,20,Monday,@VoiceOfOBrien im a man and i even joined in. women arent the only ones assaulted. #metoo,@VoiceOfOBrien im a man and i even joined in. women arent the only ones assaulted. #metoo,0.0,0.0,WEB,#metoo,0.0,0.4416790008544922,0.5167799592018127,0.04154103994369507,-0.4001379609107971,0.5167799592018127,Neutral
1920,2017-10-16 20:06:04,2017-10-16,20,Monday,"#MeToo is telling the world of the pervasive sexual abuse/harassment that women face everyday, all around the world","#MeToo is telling the world of the pervasive sexual abuse/harassment that women face everyday, all around the world",0.0,0.0,ANDROID,#metoo,0.0,0.708571195602417,0.2650498151779175,0.026379037648439407,-0.6821921579539776,0.708571195602417,Negative
27474,2017-10-16 23:29:22,2017-10-16,23,Monday,A Conservative Comedian Just Made A Sexist <e2><80><9c>Joke<e2><80><9d> Amid #MeToo And Quickly Paid For It https://t.co/QwIpLsqF8L https://t.co/QwIpLsqF8L,A Conservative Comedian Just Made A Sexist <e2><80><9c>Joke<e2><80><9d> Amid #MeToo And Quickly Paid For It https://t.co/QwIpLsqF8L https://t.co/QwIpLsqF8L,0.0,0.0,Unknown,#metoo,0.0,0.5272320508956909,0.4432544410228729,0.029513465240597725,-0.4977185856550932,0.5272320508956909,Negative
18009,2017-10-16 20:37:11,2017-10-16,20,Monday,"Age 16, worked at McDonald's. Old man not allowed to work alone w/o a manager on staff. Harassed by him when we were short staffed #MeToo","Age 16, worked at McDonald's. Old man not allowed to work alone w/o a manager on staff. Harassed by him when we were short staffed #MeToo",0.0,0.0,ANDROID,#metoo,0.0,0.7504037618637085,0.23501813411712646,0.014578140340745449,-0.735825621522963,0.7504037618637085,Negative
4766,2017-10-16 23:14:07,2017-10-16,23,Monday,"Even after so long, I still walk with keys as impromptu claws when alone. #MeToo","Even after so long, I still walk with keys as impromptu claws when alone. #MeToo",0.0,0.0,IPHONE,#metoo,0.0,0.3812773823738098,0.5323706269264221,0.08635193854570389,-0.2949254438281059,0.5323706269264221,Neutral
21414,2017-10-16 23:41:42,2017-10-16,23,Monday,"I kept it to myself and thought I led him on and maybe it was my fault, even though I said no. Still a hard thing to talk about. #MeToo","I kept it to myself and thought I led him on and maybe it was my fault, even though I said no. Still a hard thing to talk about. #MeToo",1.0,3.0,IPHONE,#metoo,0.0,0.786850094795227,0.2054535448551178,0.007696330547332764,-0.7791537642478943,0.786850094795227,Negative
14261,2017-10-16 19:11:55,2017-10-16,19,Monday,"If the #metoo stories have shocked you - 70% of women have experienced #harassment 
What are you going to do to sto<e2><80><a6> https://t.co/oRVexbej88",If the #metoo stories have shocked you - 70% of women have experienced #harassment What are you going to do to sto<e2><80><a6> https://t.co/oRVexbej88,1.0,2.0,WEB,#metoo,0.0,0.8126240372657776,0.17953190207481384,0.007844003848731518,-0.8047800334170461,0.8126240372657776,Negative
5117,2017-10-16 19:06:09,2017-10-16,19,Monday,"Because I don't want to stay silent anymore. <ed><a0><bd><ed><b5><af>
#MeToo",Because I don't want to stay silent anymore. <ed><a0><bd><ed><b5><af> #MeToo,0.0,1.0,IPHONE,#metoo,1.0,0.6031781435012817,0.3630451261997223,0.033776745200157166,-0.5694013983011246,0.6031781435012817,Negative
17330,2017-10-16 23:56:51,2017-10-16,23,Monday,"This is not okay. The number of people who have showed up on my Facebook and Twitter feeds breaks my heart, we must stand together. #MeToo","This is not okay. The number of people who have showed up on my Facebook and Twitter feeds breaks my heart, we must stand together. #MeToo",0.0,1.0,IPHONE,#metoo,0.0,0.9051097631454468,0.08598894625902176,0.00890137068927288,-0.8962083924561739,0.9051097631454468,Negative
15959,2017-10-16 22:22:27,2017-10-16,22,Monday,#Metoo stories show a certain collective reckoning against sexual assault &amp; harassment<e2><80><93><e2><80><93>something always worth thinking about,#Metoo stories show a certain collective reckoning against sexual assault &amp; harassment<e2><80><93><e2><80><93>something always worth thinking about,0.0,2.0,WEB,#metoo,0.0,0.07826940715312958,0.614305853843689,0.30742472410202026,0.22915531694889069,0.614305853843689,Neutral
17634,2017-10-16 19:10:48,2017-10-16,19,Monday,#MeToo I am grateful that I've gotten to the point where their wrongs no longer define me. That is their burden to carry. Not mine. #Karma,#MeToo I am grateful that I've gotten to the point where their wrongs no longer define me. That is their burden to carry. Not mine. #Karma,0.0,18.0,WEB,#metoo,0.0,0.48501601815223694,0.3401971161365509,0.17478680610656738,-0.31022921204566956,0.48501601815223694,Negative
27413,2017-10-16 22:47:49,2017-10-16,22,Monday,@Khan_Murad1 Having your boss come up behind you and grab your breast.  #metoo,@Khan_Murad1 Having your boss come up behind you and grab your breast. #metoo,0.0,3.0,ANDROID,#metoo,0.0,0.3232478201389313,0.6315699219703674,0.04518226161599159,-0.2780655585229397,0.6315699219703674,Neutral
14244,2017-10-16 19:14:11,2017-10-16,19,Monday,"Whenever one person stands up and says,
''Wait a minute, this is wrong.''
It helps other people to do the same...!<e2><80><a6> https://t.co/su4Vu66Gnu","Whenever one person stands up and says, ''Wait a minute, this is wrong.'' It helps other people to do the same...!<e2><80><a6> https://t.co/su4Vu66Gnu",0.0,0.0,WEB,#metoo,0.0,0.13567663729190826,0.6051164269447327,0.25920698046684265,0.12353034317493439,0.6051164269447327,Neutral
6408,2017-10-16 19:10:49,2017-10-16,19,Monday,"From Trump and Weinstein to your workplace, on the train and down the pub. It's time more men stood up and said #NoMore to #MeToo.","From Trump and Weinstein to your workplace, on the train and down the pub. It's time more men stood up and said #NoMore to #MeToo.",29.0,66.0,IPHONE,#metoo,0.0,0.7803651690483093,0.20323944091796875,0.016395386308431625,-0.7639697827398777,0.7803651690483093,Negative
19659,2017-10-16 22:20:32,2017-10-16,22,Monday,"Retweeted freakin' bats (@himynameisaine):

Saw this on Facebook. So simple but absolutely nails it. #metoo... https://t.co/9Q5X5YeY8m",Retweeted freakin' bats (@himynameisaine): Saw this on Facebook. So simple but absolutely nails it. #metoo... https://t.co/9Q5X5YeY8m,0.0,0.0,Unknown,#metoo,0.0,0.02294515073299408,0.17384354770183563,0.8032113313674927,0.7802661806344986,0.8032113313674927,Positive
16755,2017-10-16 23:33:06,2017-10-16,23,Monday,"@Alyssa_Milano Whether it be the guy slipping something in my drink, or the men I plan my running route around every day; change it. #metoo","@Alyssa_Milano Whether it be the guy slipping something in my drink, or the men I plan my running route around every day; change it. #metoo",0.0,6.0,IPHONE,#metoo,0.0,0.48576581478118896,0.48740410804748535,0.026830041781067848,-0.4589357730001211,0.48740410804748535,Neutral
2061,2017-10-16 23:21:41,2017-10-16,23,Monday,Me too #MeToo,Me too #MeToo,0.0,2.0,IPHONE,#metoo,0.0,0.07976878434419632,0.6041861772537231,0.31604501605033875,0.23627623170614243,0.6041861772537231,Neutral
21701,2017-10-16 22:43:17,2017-10-16,22,Monday,"The sad truth is that if the hashtag was #neverhappenedtome it wouldn't be trending, so hell yes, #metoo","The sad truth is that if the hashtag was #neverhappenedtome it wouldn't be trending, so hell yes, #metoo",0.0,2.0,IPHONE,#metoo,0.0,0.8574709892272949,0.13046976923942566,0.01205921545624733,-0.8454117737710476,0.8574709892272949,Negative
6280,2017-10-16 21:48:22,2017-10-16,21,Monday,"#MondayMorning Sean Hughes #Ophelia #redsun #MeToo #IdLikeToTeach Harvey Weinstein's $250,000 #DementiaCareSummit<ed><a0><bc><ed><b7><ba><ed><a0><bc><ed><b7><b8><ed><a0><bc><ed><b7><ba><ed><a0><bc><ed><b7><b8>https://t.co/274CkOHNF5","#MondayMorning Sean Hughes #Ophelia #redsun #MeToo #IdLikeToTeach Harvey Weinstein's $250,000 #DementiaCareSummit<ed><a0><bc><ed><b7><ba><ed><a0><bc><ed><b7><b8><ed><a0><bc><ed><b7><ba><ed><a0><bc><ed><b7><b8>https://t.co/274CkOHNF5",39.0,39.0,WEB,#metoo,1.0,0.21887938678264618,0.7357074618339539,0.045413173735141754,-0.17346621304750443,0.7357074618339539,Neutral
22896,2017-10-16 19:03:54,2017-10-16,19,Monday,"#MeToo. OF COURSE!
It's not a coincidence. IT'S a structurally necessary part of patriarchal society. Men, you have a lot of work to do.","#MeToo. OF COURSE! It's not a coincidence. IT'S a structurally necessary part of patriarchal society. Men, you have a lot of work to do.",0.0,0.0,ANDROID,#metoo,0.0,0.3349035382270813,0.4184820353984833,0.24661439657211304,-0.08828914165496826,0.4184820353984833,Neutral
21041,2017-10-16 22:12:02,2017-10-16,22,Monday,#MeToo I was groped in the crotch while getting cash out. The guy then laughed with his mates afterwards.,#MeToo I was groped in the crotch while getting cash out. The guy then laughed with his mates afterwards.,0.0,0.0,Unknown,#metoo,0.0,0.5873698592185974,0.3858112692832947,0.02681882306933403,-0.5605510361492634,0.5873698592185974,Negative
2203,2017-10-16 20:18:48,2017-10-16,20,Monday,Twitter is too constricting with 140 characters to tweet all that<e2><80><99>s happened over the years. But yes. #MeToo,Twitter is too constricting with 140 characters to tweet all that<e2><80><99>s happened over the years. But yes. #MeToo,0.0,0.0,IPHONE,#metoo,0.0,0.6315473914146423,0.34163808822631836,0.026814492419362068,-0.6047328989952803,0.6315473914146423,Negative
7677,2017-10-16 20:51:22,2017-10-16,20,Monday,I shouldn't need to post #MeToo. https://t.co/KjLwGjX1L8,I shouldn't need to post #MeToo. https://t.co/KjLwGjX1L8,0.0,0.0,Unknown,#metoo,0.0,0.7634259462356567,0.22673587501049042,0.009838180616497993,-0.7535877656191587,0.7634259462356567,Negative
5279,2017-10-16 20:14:37,2017-10-16,20,Monday,Been an important conversation on twitter today. Didn't say earlier cos imp women's voices are heard. Its dying down though so  #metoo,Been an important conversation on twitter today. Didn't say earlier cos imp women's voices are heard. Its dying down though so #metoo,0.0,2.0,ANDROID,#metoo,0.0,0.11695864796638489,0.36156296730041504,0.5214783549308777,0.4045197069644928,0.5214783549308777,Positive
1621,2017-10-16 19:38:15,2017-10-16,19,Monday,To all the #metoo<e2><80><99>s I believe you. And i support you.,To all the #metoo<e2><80><99>s I believe you. And i support you.,0.0,1.0,IPHONE,#metoo,0.0,0.010356798768043518,0.11602655053138733,0.8736166954040527,0.8632598966360092,0.8736166954040527,Positive
5305,2017-10-16 22:17:25,2017-10-16,22,Monday,"#MeToo it started at age 6, the rapes started at 8 and I started acting out at 12, had a baby at 15... Need more or is that #EnoughAlready","#MeToo it started at age 6, the rapes started at 8 and I started acting out at 12, had a baby at 15... Need more or is that #EnoughAlready",1.0,0.0,IPHONE,#metoo,0.0,0.7233221530914307,0.26007258892059326,0.016605321317911148,-0.7067168317735195,0.7233221530914307,Negative
12947,2017-10-16 23:12:55,2017-10-16,23,Monday,"#SexualAbuse
#MeToo is flying around the world and I am completely overwhelmed because my #MeToo feels so... https://t.co/XOFUki0c3p",#SexualAbuse #MeToo is flying around the world and I am completely overwhelmed because my #MeToo feels so... https://t.co/XOFUki0c3p,0.0,1.0,Unknown,#metoo,0.0,0.8613687753677368,0.12446963787078857,0.014161543920636177,-0.8472072314471006,0.8613687753677368,Negative
550,2017-10-16 23:54:51,2017-10-16,23,Monday,#MeToo #IWill push back and help younger women navigate it better than I did.,#MeToo #IWill push back and help younger women navigate it better than I did.,1.0,2.0,WEB,#metoo,0.0,0.0635404959321022,0.45191648602485657,0.48454299569129944,0.42100249975919724,0.48454299569129944,Positive
