tweetid,created,text,retweets,favorites,source.r,hashtag,num.emojis,emoji_names
58,2017-10-16 19:16:20,Lol that moment when you didn't even realize you'd been sexually harassed/assaulted until you started reading tweets about it #MeToo,0,0,IPHONE,#metoo,0,
59,2017-10-16 22:44:40,Definitelt not ready to share my story(ies) but i have so much respect for those that are. Men included. #MeToo,0,6,ANDROID,#metoo,0,
60,2017-10-16 21:33:41,"I wish I didn't have to see this all across my Twitter feed, and I wish it wasn't on victims to raise awareness and educate, but #MeToo.",0,1,ANDROID,#metoo,0,
61,2017-10-16 21:09:50,"""I thought you wanted this!""
""I told you no. I kept pulling away.""
""I thought you were joking!""

#MeToo",0,2,IPHONE,#metoo,0,
62,2017-10-16 19:59:22,"it happened to me twice. 
it can happen to anyone.
if you see it happening to anyone, step in, speak up.
#metoo",1,2,IPHONE,#metoo,0,
63,2017-10-16 19:10:54,Especially rife in the 1970s #metoo https://t.co/79sW8zHCsj,0,0,IPHONE,#metoo,0,
64,2017-10-16 19:20:14,"#MeToo ... but then again, I don't know (m)any women who haven't experienced some kind of sexual harassment... it happens to #MenToo",0,2,WEB,#metoo,0,
65,2017-10-16 22:11:38,"#MeToo. I am among the 100% of women that has had to deal with this in some form, and it's truly awful. I'm so sad and so angry rn.",1,1,IPHONE,#metoo,0,
66,2017-10-16 19:31:18,"About this #MeToo business - 
You don't have to announce yourself as a survivor for your trauma to be valid. I see you.",0,0,WEB,#metoo,0,
67,2017-10-16 19:33:50,My workplace offers free stuff every so often. One time I was asked what else was free before he threatened to lock me in a room. #MeToo,0,5,IPHONE,#metoo,0,
68,2017-10-16 20:18:54,I used to think mine didn't matter and it was just another part of life I had to get over and pretend it never happened. #MeToo,0,0,IPHONE,#metoo,0,
69,2017-10-16 22:01:25,"and last but not least, #MeToo because someday I<e2><80><99>m going to be okay, even though what happened to me wasn<e2><80><99>t.",1,1,IPHONE,#metoo,0,
70,2017-10-16 21:35:29,Not a day goes by where I don't suffer because of it. #metoo,0,1,IPHONE,#metoo,0,
71,2017-10-16 20:50:52,#MeToo 31 December 2005 just after 11pm. Day I will never forget. <ed><a0><bd><ed><b2><94>,0,0,ANDROID,#metoo,1,broken heart
72,2017-10-16 23:31:35,my #metoo stories are too graphic and difficult for me to put into words but I am here if ANYONE ever needs someone to talk to.,0,3,ANDROID,#metoo,0,
73,2017-10-16 23:45:41,The first time I can remember was in middle school. The worst case was in college when 4 boys decided no didn<e2><80><99>t matter. #MeToo,0,3,IPHONE,#metoo,0,
74,2017-10-16 19:43:47,#MeToo should be #whohasn<e2><80><99>t,1,4,IPHONE,#metoo,0,
75,2017-10-16 19:09:51,"Caught myself thinking,""it wasn't that bad so my experiences don't count"", but harrassment is harrassment &amp; there's no excuse. #metoo",288,995,WEB,#metoo,0,
76,2017-10-16 21:31:59,"Don't dwell on what you can't change, move past, adapt, overcome #MeToo",0,0,ANDROID,#metoo,0,
77,2017-10-16 21:43:43,"@Queen_Sugar_ You being inspired by her, inspires me. #MeToo",0,1,IPHONE,#metoo,0,
78,2017-10-16 19:52:38,A relationship isn<e2><80><99>t consent. #Metoo,2,10,IPHONE,#metoo,0,
79,2017-10-16 19:45:47,"Working on a theory that every woman I know has seen a penis she didn't ask to see.

 #MeToo",0,5,WEB,#metoo,0,
80,2017-10-16 22:15:30,Kinda sad that it takes a hashtag for people to realize how big the issue is #metoo,0,4,IPHONE,#metoo,0,
81,2017-10-16 20:20:16,"in high school someone grabbed my ass and when i went off on him, i was told ""it's was just a joke, calm down!!!"" #MeToo",0,9,ANDROID,#metoo,0,
82,2017-10-16 21:26:24,"""I'm telling you, as your core demographic, I found your argument problematic,"" as did I @missmayim
#MeToo 
https://t.co/flI5gqLaVt",2,4,ANDROID,#metoo,0,
83,2017-10-16 21:28:48,"Interesting that the men who have a problem with #MeToo are the same ones who wanted to ""protect women"" with bathroom bills.",0,1,WEB,#metoo,0,
84,2017-10-16 22:48:00,#MeToo No its not ok that you are a celebrity No its not ok to grab us by the pu-- Women are made from life and bring forth life..Respect us,0,2,ANDROID,#metoo,0,
85,2017-10-16 19:30:22,We are worth so much more <ed><a0><bd><ed><b2><94> #metoo,0,0,IPHONE,#metoo,1,broken heart
86,2017-10-16 21:16:09,Idk if I<e2><80><99>ll ever be ready to tell my story but I am 1 in 5 #MeToo,0,4,IPHONE,#metoo,0,
87,2017-10-16 20:18:39,It takes courage for people to come out and speak up about sexual harassment #MeToo,0,0,NA,#metoo,0,
88,2017-10-16 22:15:33,"<e2><9d><a4><ef><b8><8f> that #metoo is continuing to flood my social media. I don<e2><80><99>t like talking about it often, but that<e2><80><99>s part of the problem. #timetospeakup",0,2,IPHONE,#metoo,1,red heart
89,2017-10-16 19:02:24,"Me too
There is no shame in saying ""me too"", because YOU ARE BRAVE <ed><a0><bd><ed><b2><99>
Speak it out. You can. There is freedom and he<e2><80><a6> https://t.co/hwk4vIFph4",0,5,IPHONE,#metoo,1,blue heart
90,2017-10-16 23:44:43,#MeToo being grabbed into a choke hold and forced to do something I<e2><80><99>ve said NO too.,0,0,IPHONE,#metoo,0,
91,2017-10-16 19:47:34,Started at 8. Then 12. And 16. Again at 19. Also 21. And countless times in between. #MeToo https://t.co/GgF8LRMOZS,0,0,IPHONE,#metoo,0,
92,2017-10-16 23:27:17,It<e2><80><99>s such bullshit to be taken advantage of #metoo and guess what you haven<e2><80><99>t stopped me from succeeding.. So guess who is the loser #you,0,1,IPHONE,#metoo,0,
93,2017-10-16 20:53:42,"For the longest, I believed that it was my fault. I felt so guilty. It took a while to realize that I was the victim.
#MeToo",1,1,IPHONE,#metoo,0,
94,2017-10-16 21:37:02,I don't think there's a single woman on earth who hasn't been sexually harassed verbally. Sadly a lot physically too! #MeToo,0,0,IPHONE,#metoo,0,
95,2017-10-16 22:09:29,a helpful resource on how to respond when someone says #MeToo https://t.co/snNlNASua0,0,1,WEB,#metoo,0,
96,2017-10-16 22:17:34,"Wasnt sure about sharing my #MeToo story bc I didnt want to take away from others, but I wanted to show that this can happen to anyone.  1/4",0,5,NA,#metoo,0,
97,2017-10-16 19:43:32,#MeToo don't tell me I asked for it. I was 12 wearing basketball shorts and a huge t-shirt trying to sleep.,0,0,IPHONE,#metoo,0,
98,2017-10-16 23:28:49,"@susette__ Susette, I am a victim of sexual assault too. It is a real thing and it should not be covered in any way. #MeToo",0,1,IPHONE,#metoo,0,
99,2017-10-16 21:47:04,"As a 5 year old child, I was sexually assaulted by my babysitter #MeToo",0,3,NA,#metoo,0,
100,2017-10-16 20:10:34,"#MeToo
AgainJust wow
Women go through a lot",0,0,ANDROID,#metoo,0,
101,2017-10-16 19:23:36,"Just because I liked him, my trauma wasn't valid. #MeToo",0,0,ANDROID,#metoo,0,
102,2017-10-16 23:01:45,"Whether sharing a #MeToo story or ""#IWill help end sexual violence"", play your part and please help support ours:<e2><80><a6> https://t.co/NUUBFsNbZ2",21,27,NA,#metoo,0,
103,2017-10-16 23:40:49,@Alyssa_Milano #MeToo And it was the moment I realized I loved myself more than a work opportunity.,0,1,WEB,#metoo,0,
104,2017-10-16 19:57:56,grow up. fucking fairies #metoo,0,1,ANDROID,#metoo,0,
105,2017-10-16 22:41:33,I will never be ashamed to admit how much I desperately need Jesus. Praying for all those suffering &amp; hurting.<e2><80><a6> https://t.co/CmFd6VSAhz,0,1,IPHONE,#metoo,0,
106,2017-10-16 23:20:03,I thought I had to do it or else he would think I didn't love him. 3 years and a new life later I still have nightmares #MeToo,0,2,ANDROID,#metoo,0,
107,2017-10-16 20:23:18,"No family believed it 
Friends did
He still is able to come to my house and act like nothing happened
#MeToo",0,1,ANDROID,#metoo,0,
108,2017-10-16 19:23:43,"I'd been hesitant to say #MeToo because I felt like stuff I've experienced was ""not THAT bad"" but then I realized that's part of the problem",10,85,ANDROID,#metoo,0,
109,2017-10-16 20:26:32,seeing so many mutuals tweet #metoo with their experiences of sexual abuse is breaking my heart,0,1,IPHONE,#metoo,0,
110,2017-10-16 21:35:22,"when men start a hashtag to own up to all the times they've harassed &amp; assaulted others, then maybe I'll share my #MeToo stories",0,0,NA,#metoo,0,
111,2017-10-16 20:33:04,"Not many people know my story, but #MeToo",0,1,IPHONE,#metoo,0,
112,2017-10-16 20:35:32,The latest The Dubai Property Daily! https://t.co/67M8inj63z #dubai #metoo,1,1,NA,#metoo,0,
113,2017-10-16 21:27:23,So is the whole #MeToo social media movement specific to women?,0,0,IPHONE,#metoo,0,
114,2017-10-16 23:46:15,"#metoo 
it<e2><80><99>s way past time to start calling people out on their misogyny disguised as humor. Stop enabling ur friends &amp; CALL THEM TF OUT.",0,2,IPHONE,#metoo,0,
115,2017-10-16 23:35:50,does this #metoo thing work in real time? cuz an old man on the metro just seductively licked his lips while making eye contact with me.,0,0,WEB,#metoo,0,
116,2017-10-16 19:52:25,"I won't share, but if you are reading this and you've been sexually harassed or assaulted, you are NOT alone #MeToo",0,4,IPHONE,#metoo,0,
117,2017-10-16 23:39:47,"All of these #metoo tweets are making me so sad, heartbreaking that so many people have experienced something so traumatic",0,0,IPHONE,#metoo,0,
118,2017-10-16 21:56:04,I was sexually harassed multiple times by men ranging from 25-70 years old in the fashion/entertainment industry and in public. #MeToo,0,0,IPHONE,#metoo,0,
119,2017-10-16 19:09:45,One girl called me 67 times.. Her no is blocked.. Finally she sms'ed and abused.. Can I use #MeToo ??,0,1,ANDROID,#metoo,0,
120,2017-10-16 21:39:47,"""boys will be boys"" &amp; ""they can't help themselves"" two lies that must end! #MeToo",2,6,ANDROID,#metoo,0,
121,2017-10-16 20:29:27,and I still can't talk to anyone about it. and it comes back. all the time. #MeToo,0,1,WEB,#metoo,0,
122,2017-10-16 23:48:57,Funny picture but serious message -- please take a minute to both realize the double-standard and appreciate #MeToo<e2><80><a6> https://t.co/la32YhbiTm,0,3,IPHONE,#metoo,0,
123,2017-10-16 20:26:18,"#MeToo makes me know that I am not alone. And for that, I am grateful. We are warriors.",1,5,IPHONE,#metoo,0,
124,2017-10-16 21:18:40,"#MeToo
no details but yeah, if it took this hashtag for you to realize this shit is an issue, then you got another thing comin",0,4,IPHONE,#metoo,0,
125,2017-10-16 20:19:57,"no matter how big or small someone ELSE thinks it is .. it happened to YOU and no one else, support each other. #MeToo",0,4,IPHONE,#metoo,0,
126,2017-10-16 21:26:21,#MeToo i literally do not know a single woman who physically wouldn't be able to post this today.,0,2,ANDROID,#metoo,0,
127,2017-10-16 22:43:19,"Every status on my Facebook feed right now is a #metoo. It's warming to see so many others speaking up, just a little, yet heartbreaking.",0,1,IPHONE,#metoo,0,
128,2017-10-16 19:26:19,"@HMSAGE_ @ShipJos @JudyJones1990 @MonicaLewinsky @JeanineX9 @womensmarch Except one is FANTASY (Trump ""accusers""),<e2><80><a6> https://t.co/oCQvWcf22b",2,2,IPHONE,#metoo,0,
129,2017-10-16 22:01:01,"I love living in NYC, I do. But the amount of sexual harassment I experience has at least doubled since moving here. It<e2><80><99>s not okay. #MeToo",0,4,IPHONE,#metoo,0,
130,2017-10-16 22:43:48,Fucking #metoo,0,3,ANDROID,#metoo,0,
131,2017-10-16 21:00:06,Writing an article on the #MeToo campaign &amp; feeling so much love for everyone out there who's ever been through something shitty <e2><99><a5><ef><b8><8f>,0,1,IPHONE,#metoo,1,heart suit
132,2017-10-16 20:30:27,"he went on to be the president of his fraternity, i spiraled into a six month depression and blame myself to this day #MeToo",0,13,IPHONE,#metoo,0,
133,2017-10-16 19:38:54,before. <e2><80><9c>It<e2><80><99>s your fault for being drunk<e2><80><9d> <e2><80><9c>well were you wearing?<e2><80><9d> <e2><80><9c>Well wasn<e2><80><99>t it consensual at first?<e2><80><9d> #metoo,0,1,IPHONE,#metoo,0,
134,2017-10-16 19:19:10,"#MeToo. We<e2><80><99>ve all had something shouted at us from a van driving past or from across the street, right? That<e2><80><99>s <e2><80><98>nor<e2><80><a6> https://t.co/5IdROzvwYx",0,0,NA,#metoo,0,
135,2017-10-16 21:05:16,So proud of every person who's brave enough to share themselves with #metoo - your strength is inspiring <ed><a0><bd><ed><b2><aa><ed><a0><bc><ed><bf><bb>,0,3,IPHONE,#metoo,2,"flexed biceps, flexed biceps: light skin tone"
136,2017-10-16 21:13:53,"#MeToo: Stars Share Stories of Sexual Harassment,<c2><a0>Assault https://t.co/e6QgZJt71F https://t.co/tR47es0KQu",0,0,NA,#metoo,0,
137,2017-10-16 23:30:02,"#metoo it can happen to anyone, any gender and in a relationship...",0,0,IPHONE,#metoo,0,
138,2017-10-16 23:06:43,"ages 9, 15, 18 &amp; 19 
#MeToo",0,4,IPHONE,#metoo,0,
139,2017-10-16 23:56:16,The original #MeToo movement starts with @TaranaBurke. Get to know her and her initiative. Please and thank you.  https://t.co/VbUQmji2yF,0,0,ANDROID,#metoo,0,
140,2017-10-16 19:25:22,"#MeToo sexual abuse and rape are very normalised but that doesn't make any persons story less valid  or less real,<e2><80><a6> https://t.co/RG36PBDzit",0,18,IPHONE,#metoo,0,
141,2017-10-16 22:40:28,#MeToo I went ghost this weekend to get away from the negative spiraling thoughts about the sexual abuse I experienced as a toddler,0,1,IPHONE,#metoo,0,
142,2017-10-16 22:23:09,I can<e2><80><99>t even tell you how many times my ass has been grabbed/slapped by complete and total strangers  #MeToo,2,2,IPHONE,#metoo,0,
143,2017-10-16 21:05:22,@chaandbeti Saying #metoo is a massive step. hashtag is getting enough strength now.,0,1,IPHONE,#metoo,0,
144,2017-10-16 19:52:31,Don't justify letting it slide under the mat because you think 'it could have been worse'. It shouldn't have happened at all.  #MeToo,0,1,IPHONE,#metoo,0,
145,2017-10-16 21:50:28,"I<e2><80><99>m far from a woman but
#MeToo",0,3,IPHONE,#metoo,0,
146,2017-10-16 19:01:41,"I'm all for the #MeToo campaign.  These stories need to be told, but some if y'all are just trying to feel included and are full of shit.",0,1,ANDROID,#metoo,0,
147,2017-10-16 22:25:23,"My own mom asked me to take down my #metoo Facebook post b/c future employers may see it. I fucking hope they do, ppl seeing it is the point",0,50,IPHONE,#metoo,0,
148,2017-10-16 20:14:16,Who started #MeToo? Such a simple yet powerful message - demands action now!!,1,6,IPHONE,#metoo,0,
149,2017-10-16 19:03:08,Because sometimes you can<e2><80><99>t even trust family #metoo,2,3,IPHONE,#metoo,0,
150,2017-10-16 22:18:05,"#MeToo. Sincerely, I don't know a woman who hasn't been. Stay courageous.",119,443,ANDROID,#metoo,0,
151,2017-10-16 20:59:39,"Enough is enough, no woman should ever have to post #MeToo as their status update... 3/3",0,1,ANDROID,#metoo,0,
152,2017-10-16 23:20:44,"It happens. It sucks, trust me I know. I have to see him everyday. He barely got punished.
#MeToo",0,1,ANDROID,#metoo,0,
153,2017-10-16 19:25:16,subway harassment #metoo,0,1,IPHONE,#metoo,0,
154,2017-10-16 22:34:21,"Me too...

#MeToo",0,0,IPHONE,#metoo,0,
155,2017-10-16 21:24:58,"My #MeToo has never been uttered before. I was young &amp; drunk, I only remember flashes; a van, his breath on my face<e2><80><a6> https://t.co/qdhLWboVOL",1,5,IPHONE,#metoo,0,
156,2017-10-16 20:20:05,"It's not normal. It's inexcusable. It's disgusting, along with those who try to hide it. #MeToo",0,2,IPHONE,#metoo,0,
157,2017-10-16 20:26:47,"#MeToo - sexual harassment in the workplace from a much larger man. I felt able to say no each time, my heart goes out to those who can't.",0,1,NA,#metoo,0,
158,2017-10-16 20:58:16,He was a friend of a friend. I said stop. He said okay. He didn<e2><80><99>t stop. #MeToo,1,14,IPHONE,#metoo,0,
159,2017-10-16 21:07:45,More times than I care to remember #metoo,0,1,IPHONE,#metoo,0,
160,2017-10-16 23:12:57,"#MeToo 
I was told dont talk abt it. Told I made it up. Told that it wasn't that bad. I was told to get over it. I was a child.",0,1,ANDROID,#metoo,0,
161,2017-10-16 19:58:23,Never alone. #metoo,0,0,IPHONE,#metoo,0,
162,2017-10-16 23:40:53,A story I first told in 2009. There was no #MeToo to back me up then. https://t.co/NVUybhHaX2 What story are you waiting to tell?,0,0,WEB,#metoo,0,
163,2017-10-16 22:53:56,"He was my best and closest friend. 6 years worth of friendship and trust. He thought I was asleep.

#MeToo",0,0,ANDROID,#metoo,0,
164,2017-10-16 19:05:48,"Difficult to see the vast amounts of women sharing their #MeToo stories, but inspiring for all of us to know we are not alone &amp;not silenced.",3,30,IPHONE,#metoo,0,
165,2017-10-16 23:13:53,#MeToo . This has to stop,0,0,ANDROID,#metoo,0,
166,2017-10-16 22:55:02,#MeToo no one should suffer in silence or think they're alone <e2><99><a1>,0,0,ANDROID,#metoo,0,
167,2017-10-16 21:43:46,"I<e2><80><99>m not brave enough to share my stories on social media, but I<e2><80><99>m thankful for the women that have. <ed><a0><bd><ed><b2><97> #metoo #strengthinnumbers",0,7,IPHONE,#metoo,1,growing heart
168,2017-10-16 22:06:23,"#MeToo and the responses to it, summed up. https://t.co/j3Ovicf2bJ",0,0,ANDROID,#metoo,0,
169,2017-10-16 23:09:54,okay so my grandmother posted #metoo on facebook &amp; now i<e2><80><99>m crying,1,10,IPHONE,#metoo,0,
170,2017-10-16 23:36:07,"Standing up is hard, but #SilenceIsConsent Thanks to the brave women (&amp; men) who contributed deeply personal storie<e2><80><a6> https://t.co/jMtl3g47xZ",0,2,WEB,#metoo,0,
171,2017-10-16 23:37:40,"Stay strong and don't let them break you
#MeToo",0,1,ANDROID,#metoo,0,
172,2017-10-16 20:36:45,MEN: How do you plan to end the cycle of #violenceagainstwomen? Submit your story here: https://t.co/9IfBDdvYZw #metoo #YOUTOO,0,0,WEB,#metoo,0,
173,2017-10-16 19:28:24,"Yeah, #MeToo",0,9,WEB,#metoo,0,
174,2017-10-16 19:37:02,"#MeToo is not the 1st time sex. assault/harassment has been addressed here. Real change not possible, so we're left with symbolic gestures?",0,0,WEB,#metoo,0,
175,2017-10-16 19:48:56,#MeToo. Pretty sure it's everyone tbh.,1,3,IPHONE,#metoo,0,
176,2017-10-16 20:00:55,"If you saw a lot of #metoo in your feed &amp; wonder what you can do as a man, start here. https://t.co/sZaz8wEzlR",0,1,ANDROID,#metoo,0,
177,2017-10-16 20:45:59,"Although the things that have happened majorly affected my life, it<e2><80><99>s not what I am defined by, and I<e2><80><99>m getting stronger every day. #MeToo",0,2,IPHONE,#metoo,0,
178,2017-10-16 19:29:00,So much solidarity/support to anyone saying #MeToo. #brave https://t.co/6hLAQzHaq2,0,0,IPHONE,#metoo,0,
179,2017-10-16 23:17:38,"#metoo
Whether you choose to be silent or speak about what has happened to you, your story matters, you matter, and you are loved.",0,3,ANDROID,#metoo,0,
180,2017-10-16 21:20:09,I posted my #metoo story on Facebook. &amp; it was absolutely terrifying. My story is nothing compared to others<e2><80><99>. I can<e2><80><99>t imagine how they feel,0,3,IPHONE,#metoo,0,
181,2017-10-16 22:00:39,"3 of us in the 1 night- I was pinned against a wall while she was half naked and trying to kiss me. 3 of us, none of us spoke out. #MeToo",0,1,IPHONE,#metoo,0,
182,2017-10-16 20:04:22,#MeToo More than once. I lost count.,0,0,ANDROID,#metoo,0,
